hotelcode,hotelname,pricemin,pricemax
42540,Bastion Hotel Schiphol Hoofddorp,54.75,115.41
42547,Britannia Hotel Edinburgh,44.35,129.31
42619,The Colonnade London Hotel,130.44,515.49
42627,Maison Malesherbes by HappyCulture,91.42,209.97
42631,Best Western Hotel Litteraire Arthur Rimbaud,101.61,205.8
42644,Creatif Hotel Elephant,62.75,150.52
42667,Hotel Opera Paris,45.21,1428.05
42670,Dei Borgognoni Hotel,155.0,261.72
42707,Hotel du Theatre,209.58,517.38
42716,Hotel El Rodeo,48.02,110.51
42826,Leonardo Hotel Koln Airport,137.65,230.31
42917,La Fortezza Hotel,82.48,159.74
42980,Mediolanum Milano Hotel,99.49,969.59
42988,Melia Vendome,143.96,600.77
43109,Hotel Palazzo Priuli,152.76,199.92
43119,Villa Margaux,110.58,265.82
43128,Parker Hotel,40.02,77.16
43131,Pedralbes Hotel,66.31,72.33
43195,Le Relais du Marais Hotel,171.79,227.05
43198,Renaissance London Heathrow Hotel,124.59,305.16
43252,The Scotsman Hotel,141.6,558.48
43257,iH Hotels Firenze Select,38.07,425.03
43304,Best Western Swiss Cottage,85.53,250.98
43311,Hotel Terminal,45.21,90.57
43352,Waldstaetterhof Swiss Quality Hotel,110.35,303.93
44683,Vicenza Tiepolo Hotel,58.27,114.53
44685,Crowne Plaza Amsterdam Schiphol,94.29,273.56
44706,Hotel Catalonia Hispalis,40.18,119.55
44707,Hotel Catalonia Las Vegas,45.4,299.31
44710,Petit Palace Bristol,98.55,167.27
44716,"Hilton Avisford Park, Arundel",70.9,225.04
44726,Best Western Plough and Harrow Hotel,85.53,151.52
44730,Campanile Bradford Hotel,36.8,76.18
44731,Jurys Inn Brighton Waterfront,97.15,175.28
44738,The Roman Way Hotel,46.57,51.74
44744,Doubletree by Hilton Dartford Bridge,58.34,234.41
44745,Blackwell Grange Hotel,71.27,121.43
44751,Novotel Edinburgh Centre Hotel,73.91,167.89
44753,Jurys Inn East Midlands Airport (on-site),74.13,159.24
44760,DoubleTree by Hilton Hotel Strathclyde,90.22,151.04
44763,Imperial Crown Hotel,42.76,95.03
44765,Green Man Hotel by Good Night Inns,84.48,101.34
44768,Mercure Haydock Hotel,61.24,130.93
44769,Jurys Inn Inverness,75.08,138.33
44773,Dukes Head Hotel,93.03,225.96
44784,Royal Eagle Hotel,58.92,411.81
44801,Millennium Madejski Reading,70.01,209.07
44802,BEST WESTERN PLUS West Retford Hotel,61.77,268.21
44808,Chimney House Hotel and Restaurant,68.64,105.59
44825,Cromwell Hotel Stevenage,73.91,153.1
44828,Telford Hotel And Golf Resort - QHotels,90.28,161.56
44969,Novotel Brussels off Grand Place,177.23,277.32
45005,Ilunion Alcala Norte Hotel,85.76,188.27
45032,Skyways Hotel,52.8,68.64
45041,Holiday Inn Express London Chingford,78.14,87.63
45042,DoubleTree by Hilton Hotel London - Docklands Riverside,103.91,567.12
45046,Corus Hotel Hyde Park,285.55,346.13
45056,Isa Design Hotel,135.63,349.61
45059,Seiler Hotel,68.31,200.02
45070,Best Western Amsterdam,42.87,83.63
47814,AC Hotel Cordoba,68.63,175.71
47902,Bridgewood Manor - QHotels,70.91,130.93
47907,Britannia Country House Hotel,47.16,128.83
47913,Britannia Sachas Hotel,44.35,110.34
47919,Buxted Park Country House,110.87,153.1
47955,Continentale,200.93,1690.79
47959,Cotswold House Hotel & Spa,95.03,491.0
47965,Crowne Plaza Birmingham NEC,81.31,147.71
47983,Durrant House Hotel,190.07,316.78
47996,Ettington Park Hotel,122.59,231.25
48001,Exeter Court Hotel,58.07,93.98
48002,Holiday Inn Express Bath,131.99,520.39
48003,Holiday Inn Express Newport,61.24,277.08
48092,Langstone Quays Resort,84.48,195.35
48101,Lily Hotel,60.94,128.29
48115,"Marks Tey Hotel, Sure Collections by Best Western",58.34,220.69
48116,Bettoja Massimo D'Azeglio Hotel,77.85,211.07
48147,NH Koln Altstadt,437.9,673.9
48158,Novotel London Heathrow Airport M4 Jct. 4,57.02,156.28
48160,Hotel Nuova Italia,39.18,99.46
48171,Oxford Spires Hotel,93.55,230.2
48188,Hotel Prati,43.09,64.64
48203,"Queensway Hotel, Sure Hotel Collection by Best Western",94.08,109.82
48206,Radisson Blu Hotel Champs Elysees,288.98,424.46
48208,Radisson Blu Edwardian Sussex - Marble Arch,158.67,678.84
48210,DoubleTree by Hilton Hotel London - Ealing,140.91,321.34
48223,The Rembrandt Hotel,201.89,434.31
48233,Roebuck by Greene King Inns,63.36,84.48
48259,Mercure Stratford Upon Avon Shakespeare Hotel,69.48,156.28
48274,Mercure Exeter Southgate Hotel,115.1,189.01
48296,Thistle London Heathrow Terminal 5,59.13,138.51
48728,Apollo Hotel,55.59,186.9
48730,Arion Athens Hotel,56.07,92.91
48760,Crowne Plaza London - The City,198.52,373.43
48776,Leonardo Hotel Aachen,54.84,133.23
48812,New Hall Hotel & Spa,110.87,252.37
48818,TRYP Murcia Rincon de Pepe,67.31,139.79
48823,Novotel London Excel Hotel,93.98,161.56
48829,Holiday Inn Peterborough West,81.31,146.77
49364,Radisson Blu Hotel Olumpia Tallinn,80.3,282.86
